Najom,Rozloha
1103.14,116.12
860.0,109.0
1335.0,127.0
265.0,52.0
379.0,69.0
1150.0,164.0
259.0,58.3
500.0,62.0
300.0,54.0
1268.73,111.0
643.0,63.0
490.0,82.0
1300.0,135.69
355.97,65.92
479.0,96.34
129.0,25.67
400.0,40.29
425.0,48.0
650.0,85.0
423.0,73.0
279.0,51.03
1000.0,40.0
509.0,73.0
327.11,46.73
530.0,15.0
273.56,68.39
550.0,53.5
1500.0,202.0
800.0,72.0
310.0,52.1
406.54,52.12
970.0,96.26
420.0,62.23
990.0,175.0
1700.0,160.0
300.0,45.0
350.0,50.0
750.0,78.0
980.39,93.37
355.0,54.68
467.0,49.11
770.0,61.0
717.0,63.8
242.0,44.0
2000.0,120.0
1350.0,57.0
860.0,84.63
330.0,30.0
900.0,70.0
460.0,100.0
349.0,52.91
1260.0,116.1
780.0,18.0
240.0,60.0
665.0,66.72
285.0,62.9
590.0,80.0
269.0,48.46
765.0,36.0
385.95,51.46
461.2,55.7
680.0,75.0
500.0,60.0
520.0,85.87
300.0,65.0
1600.0,90.0
544.0,64.0
532.0,66.5
210.0,33.85
620.0,73.2
894.5,71.56
576.0,69.14
1185.0,72.97
1440.0,120.0
205.0,50.0
1650.0,130.0
335.0,66.32
1400.0,45.55
480.0,64.0
349.0,55.61
266.71,57.98
330.7,66.14
406.89,73.98
450.0,34.0
300.0,58.0
680.0,48.0
450.0,50.0
551.0,92.0
245.0,57.25
415.0,67.0
494.0,58.17
380.0,47.7
380.0,25.0
650.0,68.0
336.26,65.54
1750.0,117.71
230.0,42.0
360.0,75.0
990.0,123.0
175.0,29.0
550.0,66.0
360.0,61.31
350.0,64.9
616.0,77.1
750.0,78.0
990.0,80.0
290.0,46.0
995.0,115.0
700.0,72.87
806.0,124.0
1125.0,75.0
380.0,74.0
620.0,77.0
410.0,55.0
300.0,43.0
600.0,120.0
429.0,78.54
299.0,48.0
640.0,54.0
280.0,52.94
870.0,95.0
390.0,57.12
400.0,54.0
308.0,56.0
400.0,53.85
480.0,64.0
555.0,67.18
470.0,70.0
1400.0,90.0
250.0,51.1
419.42,69.25
700.0,65.0
180.0,41.8
922.0,92.26
448.0,59.0
542.92,77.56
385.0,70.0
460.0,82.7
290.46,61.8
219.0,48.5
325.0,55.02
460.0,57.0
390.0,65.0
1060.0,71.0
182.62,32.61
330.0,30.0
200.0,15.0
700.0,98.0
199.0,39.73
357.12,49.6
515.0,61.0
342.9,68.58
1700.0,166.0
205.0,42.13
295.0,53.0
340.0,47.02
370.0,58.0
1100.0,96.0
210.0,30.0
1163.23,136.85
503.0,74.42
740.0,81.0
2600.0,144.0
355.97,65.92
640.0,90.0
585.0,86.6
550.0,59.6
1350.0,120.0
490.0,61.0
302.0,59.09
367.44,68.68
340.0,52.0
250.0,73.0
472.0,63.69
1433.12,110.24
305.0,63.6
1590.0,152.0
439.39,65.58
520.0,86.0
350.0,73.0
280.0,52.0
260.0,52.0
210.0,38.0
247.55,49.07
560.0,76.0
225.0,41.0
1600.0,100.0
750.0,70.0
690.0,100.0
336.4,58.0
303.93,62.49
522.0,53.25
1480.0,90.0
2200.0,94.0
990.0,33.0
350.0,57.5
750.0,104.0
340.0,70.15
464.0,62.62
398.0,72.48
225.6,47.0
690.0,118.69
320.0,69.0
420.0,71.0
399.0,85.0
300.0,57.73
720.0,80.0
800.0,85.0
880.0,73.44
1100.0,160.0
350.0,50.79
550.0,67.0
414.0,55.2
1100.0,140.0
376.67,53.81
630.0,89.0
630.0,65.0
305.0,61.0
549.0,31.55
630.0,90.0
309.0,45.51
250.0,32.0
215.0,47.0
600.0,92.0
140.0,31.0
720.0,30.0
360.0,64.12
450.0,80.0
1963.2,130.88
1060.0,53.02
750.0,90.0
1310.0,98.5
670.0,47.0
950.0,76.0
295.0,20.0
455.0,65.0
360.0,52.0
240.0,30.0
466.65,61.0
211.0,47.03
630.0,60.0
680.0,76.0
390.0,76.0
209.0,46.93
1007.0,83.96
385.0,35.0
680.0,38.0
200.0,27.89
560.0,67.74
400.0,86.0
295.0,50.0
360.0,45.0
610.0,82.0
950.0,92.53
215.0,37.94
434.0,66.67
440.0,88.0
332.0,45.44
617.5,65.0
1050.0,98.07
283.0,47.09
189.0,39.0
920.0,75.0
275.0,53.0
266.58,19.4
410.0,63.07
314.11,40.53
339.0,68.0
894.94,91.32
421.77,47.0
1380.0,115.0
1890.0,79.99
850.0,92.0
300.0,15.0
450.0,50.0
1250.0,82.0
650.0,75.0
532.0,71.0
990.0,92.0
635.0,63.0
690.0,65.0
492.0,82.0
540.0,82.94
519.0,85.0
255.0,34.51
650.0,66.0
249.0,51.0
1150.0,77.8
288.0,48.0
1750.0,87.0
399.0,79.55
832.5,56.99
250.0,33.0
560.0,105.0
795.0,117.0
395.0,90.0
350.0,70.0
232.55,48.65
690.0,42.0
545.0,65.98
917.7,87.4
265.0,32.6
280.0,48.0
1595.0,82.75
310.0,63.0
360.0,65.0
600.0,83.4
318.06,43.51
425.0,66.0
1490.0,110.0
1050.0,120.0
950.0,109.0
576.0,72.0
310.0,59.4
575.0,70.77
780.0,31.0
1450.0,103.0
1115.0,116.75
190.0,35.0
304.0,58.4
2300.0,153.81
560.0,65.0
352.0,64.0
469.0,67.0
371.25,49.5
289.0,47.7
1715.0,80.56
216.0,55.0
260.0,17.0
425.8,54.59
2825.0,113.0
285.0,42.13
290.0,52.0
518.03,69.07
860.0,48.0
520.0,57.01
360.0,69.02
700.0,100.0
1200.0,87.78
450.0,93.4
800.0,61.0
950.0,102.0
895.0,70.1
980.0,133.0
1000.0,136.0
288.0,72.0
975.0,92.0
480.0,106.0
430.0,50.0
698.11,73.0
506.0,59.46
995.0,74.73
1346.0,89.84
285.5,57.1
980.0,82.5
2000.0,125.0
517.0,86.28
280.0,34.77
775.0,119.0
1080.0,98.0
620.0,51.0
600.0,70.0
280.0,60.8
280.0,40.0
252.0,44.0
269.0,80.0
340.0,68.0
227.5,45.5
480.0,80.0
400.0,63.0
239.7,47.0
256.37,56.97
451.84,91.28
202.0,51.63
241.45,43.9
300.0,50.0
183.6,40.8
250.0,54.86
339.0,56.5
2865.0,191.0
1100.0,45.83
249.0,42.98
1148.0,127.35
640.0,64.0
710.0,90.0
170.0,37.0
307.0,68.2
460.0,72.0
1270.0,144.29
750.0,74.92
510.0,72.69
420.0,54.0
1750.0,62.0
798.0,105.0
864.0,96.0
900.0,85.0
439.8,58.64
560.0,73.54
403.0,62.0
590.0,60.0
1108.0,110.8
840.0,93.0
473.42,75.0
550.0,74.0
860.0,77.0
420.0,77.0
840.0,81.0
2052.0,102.6
370.0,42.0
693.04,60.16
550.0,89.0
521.04,80.16
3265.42,143.54
570.0,41.49
406.0,78.0
390.0,65.0
990.0,73.0
433.49,80.0
440.0,88.0
440.0,69.0
1300.0,101.0
572.65,67.37
495.0,69.0
464.0,58.0
245.0,59.96
337.92,46.29
497.06,86.9
329.0,47.0
1100.0,83.56
585.0,68.5
619.5,59.0
660.0,82.5
250.0,54.0
398.18,53.09
650.0,116.0
254.0,59.59
350.0,80.0
1440.0,79.35
449.0,37.0
475.0,75.0
326.0,62.61
350.0,69.57
928.5,75.34
699.0,42.0
1025.0,65.0
350.0,69.84
3950.0,145.0
1120.0,115.0
560.0,112.0
1199.58,107.49
500.0,25.0
1666.68,98.04
280.0,61.0
300.0,42.72
300.0,11.87
1018.44,98.0
360.0,55.0
320.0,61.86
850.0,155.0
519.0,74.1
365.0,69.65
325.5,75.0
470.0,35.95
273.0,56.98
425.0,74.01
500.0,48.0
1116.0,96.07
4415.0,260.0
389.61,59.94
250.0,48.0
1531.9,179.8
1288.0,74.0
690.0,74.74
575.0,64.0
545.0,26.79
640.0,10.0
380.0,60.0
312.5,62.5
200.0,27.25
1349.0,109.25
450.0,74.64
1650.0,64.85
300.0,60.0
800.0,92.0
510.0,66.0
499.4,90.8
500.0,87.0
550.0,98.0
695.0,105.0
950.0,117.0
338.0,56.4
700.0,93.0
260.07,70.29
375.64,66.25
480.0,52.0
1000.0,72.0
321.0,58.4
1621.76,112.31
185.88,32.61
364.6,72.91
1144.0,88.0
256.25,46.59
430.0,41.0
1528.74,134.1
359.0,64.06
1125.0,86.6
450.0,57.0
1100.0,84.68
397.0,66.0
470.0,107.0
1200.0,52.0
396.0,49.5
750.0,102.0
990.0,74.68
549.0,58.67
283.0,56.75
430.0,73.0
650.0,76.31
1790.0,107.89
870.0,56.0
459.0,60.0
835.0,82.0
282.5,56.5
295.0,31.52
1150.0,148.0
450.0,61.04
232.93,57.8
296.0,26.66
1115.4,68.0
470.0,35.0
331.0,66.2
775.0,118.0
185.0,33.69
595.0,86.0
325.0,47.0
505.0,59.44
860.0,124.0
930.0,85.0
262.49,58.33
419.35,73.52
610.0,65.0
760.0,107.0
409.0,83.0
250.0,20.0
229.28,29.32
230.0,46.0
800.0,50.0
256.0,57.0
273.0,63.6
365.0,72.0
370.0,61.81
380.0,21.27
1850.0,150.0
540.0,90.0
312.0,58.0
854.66,89.87
400.0,78.43
485.7,64.75
750.0,65.0
300.0,60.0
600.0,110.0
240.0,50.0
315.0,61.0
2100.0,136.0
298.0,53.5
300.0,62.0
850.0,107.0
360.0,65.0
502.0,61.0
248.82,42.9
300.0,59.4
650.0,98.0
330.0,42.0
260.0,51.36
1380.0,138.0
350.0,88.0
499.0,62.27
600.0,85.0
355.0,75.0
350.0,100.0
300.0,45.0
280.0,68.8
300.0,60.94
1122.0,102.0
850.0,33.0
1450.0,192.0
850.0,122.0
560.0,102.0
300.0,56.45
320.0,52.0
999.0,149.0
1230.0,72.37
260.0,39.0
300.0,53.5
1590.0,116.96
290.0,54.0
312.0,56.4
425.0,74.96
259.0,58.0
265.0,46.83
990.0,18.0
376.2,76.0
323.0,70.24
781.0,77.1
820.0,16.0
400.0,70.0
350.0,60.0
220.0,30.0
533.97,59.33
375.0,65.92
270.0,38.0
895.0,67.5
340.0,63.49
240.0,43.0
600.0,50.0
330.75,63.0
313.0,52.1
790.0,64.84
715.0,66.34
1990.0,100.0
480.0,54.0
800.0,63.49
470.0,47.0
790.0,40.0
230.0,45.94
660.0,112.0
392.0,74.0
440.0,63.0
1450.0,110.0
250.0,56.38
399.5,84.53
150.0,27.0
750.0,134.0
640.0,120.0
780.0,77.0
341.0,71.0
450.0,36.0
194.0,64.71
490.0,58.0
680.0,88.0
1200.0,125.0
1150.0,30.0
319.01,33.58
475.0,83.0
357.0,61.42
1000.0,85.0
1195.0,41.0
330.0,61.57
800.0,130.0
329.0,60.73
346.0,64.15
700.0,131.0
750.0,120.13
290.0,58.0
275.0,58.0
650.0,135.0
625.0,82.0
299.0,56.65
799.05,38.05
349.0,58.56
630.0,30.0
4100.0,120.0
405.52,55.55
787.0,63.0
234.55,46.91
185.0,41.0
492.0,75.34
1195.0,98.0
312.03,64.57
528.13,32.5
310.0,50.89
465.14,71.56
1115.2,65.0
865.0,75.19
200.0,12.0
493.74,65.57
435.0,66.79
415.0,59.5
310.0,62.0
1150.0,110.0
800.0,90.0
541.7,60.19
994.11,76.47
295.0,57.53
460.0,69.21
330.0,58.47
515.0,51.0
135.0,22.92
847.79,99.74
400.0,67.16
240.0,30.0
845.0,101.0
451.0,76.5
375.0,49.98
800.0,54.17
710.0,71.0
580.0,58.44
400.0,60.0
1050.0,94.87
290.0,55.89
311.0,57.0
298.9,61.0
730.0,68.0
309.0,56.0
600.0,78.0
1590.0,80.0
200.0,25.0
670.0,100.54
224.0,37.4
290.0,40.0
390.0,79.3
460.0,19.5
333.0,61.6
382.01,58.77
270.0,29.36
340.0,65.15
690.0,57.78
1139.53,119.95
699.0,64.95
2800.0,137.6
500.0,72.0
549.0,80.0
256.66,35.0
695.0,48.09
330.0,22.0
650.0,70.0
300.0,33.0
238.82,55.8
830.0,88.0
390.0,90.21
380.0,40.0
205.0,45.52
354.0,69.34
570.0,57.0
320.0,70.0
358.0,62.27
1542.0,84.14
800.0,82.0
330.0,63.5
1100.0,107.0
1065.34,80.52
750.0,32.0
850.0,89.4
220.0,44.0
715.0,79.11
496.0,60.0
520.0,135.0
1290.0,80.0
385.0,80.6
425.0,84.0
220.5,63.11
1430.0,85.0
527.0,55.4
350.0,85.0
1050.0,112.0
420.0,78.5
540.0,45.0
1130.0,141.37
190.0,30.0
660.0,82.31
